SOURCE	TARGET	WEIGHT
rio	fair	2.30903650316e-05
à	terre	2.30903650316e-05
demander	à	2.30131397305e-05
conformément	à	2.29359144294e-05
lt	à	2.29359144294e-05
à	mesure	2.27814638272e-05
faire	face	2.27042385261e-05
octobre	à	2.27042385261e-05
commence	à	2.2627013225e-05
comptoir	national	2.2627013225e-05
gouverneur	général	2.2627013225e-05
marques	à	2.2627013225e-05
à	rendre	2.25497879239e-05
fois	à	2.24725626228e-05
à	même	2.24725626228e-05
été	reçu	2.24725626228e-05
à	savoir	2.23953373217e-05
à	coups	2.22408867194e-05
cours	obligations	2.21636614183e-05
londres	sucres	2.21636614183e-05
renoncer	à	2.21636614183e-05
jules	simon	2.20092108161e-05
admis	à	2.1931985515e-05
amsterdam	java	2.1931985515e-05
middling	upland	2.1931985515e-05
été	fort	2.1931985515e-05
été	à	2.1931985515e-05
assister	à	2.18547602139e-05
disposé	à	2.18547602139e-05
facile	à	2.18547602139e-05
farines	marques	2.18547602139e-05
papier	long	2.18547602139e-05
donne	à	2.17775349128e-05
gouvernement	français	2.17775349128e-05
général	boulanger	2.17775349128e-05
léon	xiii	2.17775349128e-05
pourrait	être	2.17775349128e-05
venir	à	2.17775349128e-05
envoi	franco	2.17003096117e-05
mer	agitée	2.17003096117e-05
puis	à	2.17003096117e-05
appel	à	2.16230843106e-05
né	à	2.16230843106e-05
procureur	général	2.16230843106e-05
dès	à	2.15458590095e-05
rester	à	2.15458590095e-05
répondre	à	2.15458590095e-05
à	tour	2.15458590095e-05
chambre	à	2.14686337083e-05
circulation	colza	2.14686337083e-05
cours	à	2.14686337083e-05
donne	lecture	2.13914084072e-05
moment	à	2.13914084072e-05
ventes	cafés	2.13914084072e-05
courant	avril	2.13141831061e-05
lits	militaires	2.13141831061e-05
sacs	santos	2.13141831061e-05
actuellement	à	2.1236957805e-05
paris	directeur	2.1236957805e-05
seulement	à	2.1236957805e-05
à	bon	2.11597325039e-05
à	bordeaux	2.10825072028e-05
bon	marché	2.10052819017e-05
doit	avoir	2.10052819017e-05
premiers	jours	2.10052819017e-05
été	chargé	2.10052819017e-05
voitures	à	2.09280566006e-05
conseil	fédéral	2.08508312995e-05
dernier	à	2.08508312995e-05
bon	sens	2.07736059984e-05
situation	particulière	2.07736059984e-05
temps	boulevard	2.07736059984e-05
fair	futurs	2.06963806973e-05
