SOURCE	TARGET	WEIGHT	WEIGHT*100000
marché	italien	2.32E-05	2.324481563
à	amsterdam	2.32E-05	2.324481563
dire	à	2.32E-05	2.316759033
ouvert	à	2.32E-05	2.316759033
droit	réservé	2.31E-05	2.309036503
mises	à	2.31E-05	2.309036503
rio	fair	2.31E-05	2.309036503
à	terre	2.31E-05	2.309036503
demander	à	2.30E-05	2.301313973
conformément	à	2.29E-05	2.293591443
lt	à	2.29E-05	2.293591443
à	mesure	2.28E-05	2.278146383
faire	face	2.27E-05	2.270423853
octobre	à	2.27E-05	2.270423853
commence	à	2.26E-05	2.262701323
comptoir	national	2.26E-05	2.262701323
gouverneur	général	2.26E-05	2.262701323
marques	à	2.26E-05	2.262701323
à	rendre	2.25E-05	2.254978792
fois	à	2.25E-05	2.247256262
à	même	2.25E-05	2.247256262
été	reçu	2.25E-05	2.247256262
à	savoir	2.24E-05	2.239533732
à	coups	2.22E-05	2.224088672
cours	obligations	2.22E-05	2.216366142
londres	sucres	2.22E-05	2.216366142
renoncer	à	2.22E-05	2.216366142
jules	simon	2.20E-05	2.200921082
admis	à	2.19E-05	2.193198552
amsterdam	java	2.19E-05	2.193198552
middling	upland	2.19E-05	2.193198552
été	fort	2.19E-05	2.193198552
été	à	2.19E-05	2.193198552
assister	à	2.19E-05	2.185476021
disposé	à	2.19E-05	2.185476021
facile	à	2.19E-05	2.185476021
farines	marques	2.19E-05	2.185476021
papier	long	2.19E-05	2.185476021
donne	à	2.18E-05	2.177753491
gouvernement	français	2.18E-05	2.177753491
général	boulanger	2.18E-05	2.177753491
léon	xiii	2.18E-05	2.177753491
pourrait	être	2.18E-05	2.177753491
venir	à	2.18E-05	2.177753491
envoi	franco	2.17E-05	2.170030961
mer	agitée	2.17E-05	2.170030961
puis	à	2.17E-05	2.170030961
appel	à	2.16E-05	2.162308431
né	à	2.16E-05	2.162308431
procureur	général	2.16E-05	2.162308431
dès	à	2.15E-05	2.154585901
rester	à	2.15E-05	2.154585901
répondre	à	2.15E-05	2.154585901
